Date,ZM,TSLA
12/17/2019,66.169998,75.797997
12/18/2019,67.599998,78.629997
12/19/2019,68.18,80.807999
12/20/2019,66.93,81.117996
12/23/2019,66.150002,83.844002
12/24/2019,66.459999,85.050003
12/26/2019,67.449997,86.188004
12/27/2019,66.639999,86.075996
12/30/2019,66.790001,82.940002
12/31/2019,68.040001,83.666
1/2/2020,68.720001,86.052002
1/3/2020,67.279999,88.601997
1/6/2020,70.32,90.307999
1/7/2020,71.900002,93.811996
1/8/2020,72.550003,98.428001
1/9/2020,72.620003,96.267998
1/10/2020,73.089996,95.629997
1/13/2020,74.029999,104.972
1/14/2020,73.160004,107.584
1/15/2020,76.940002,103.699997
1/16/2020,76.110001,102.697998
1/17/2020,75.559998,102.099998
1/21/2020,76.730003,109.440002
1/22/2020,75.540001,113.912003
1/23/2020,74.470001,114.440002
1/24/2020,73,112.963997
1/27/2020,70.440002,111.603996
1/28/2020,71.510002,113.379997
1/29/2020,73.580002,116.197998
1/30/2020,74.540001,128.162003
1/31/2020,76.300003,130.113998
2/3/2020,87.660004,156
2/4/2020,85.790001,177.412003
2/5/2020,86.989998,146.940002
2/6/2020,87.260002,149.792007
2/7/2020,88.639999,149.613998
2/10/2020,89.669998,154.255997
2/11/2020,88.68,154.876007
2/12/2020,88.279999,153.457993
2/13/2020,89.860001,160.800003
2/14/2020,90.949997,160.005997
2/18/2020,96.389999,171.679993
2/19/2020,103.93,183.483994
2/20/2020,105.290001,179.882004
2/21/2020,101.760002,180.199997
2/24/2020,105.010002,166.757996
2/25/2020,107.080002,159.981995
2/26/2020,106.879997,155.759995
2/27/2020,113.550003,135.800003
2/28/2020,105,133.598007
3/2/2020,113.110001,148.723999
3/3/2020,117.470001,149.102005
3/4/2020,116.800003,149.899994
3/5/2020,125,144.908005
3/6/2020,114.32,140.695999
3/9/2020,113.75,121.599998
3/10/2020,108.489998,129.065994
3/11/2020,110.300003,126.846001
3/12/2020,109.470001,112.110001
3/13/2020,107.470001,109.323997
3/16/2020,107.860001,89.014
3/17/2020,111.099998,86.040001
3/18/2020,118.709999,72.244003
3/19/2020,123.769997,85.528
3/20/2020,130.550003,85.505997
3/23/2020,159.559998,86.858002
3/24/2020,135.179993,101
3/25/2020,138.110001,107.849998
3/26/2020,141.149994,105.632004
3/27/2020,151.699997,102.872002
3/30/2020,150.880005,100.426003
3/31/2020,146.119995,104.800003
4/1/2020,137,96.311996
4/2/2020,121.93,90.893997
4/3/2020,128.199997,96.001999
4/6/2020,122.940002,103.248001
4/7/2020,113.75,109.089996
4/8/2020,117.809998,109.767998
4/9/2020,124.510002,114.599998
4/13/2020,135.919998,130.190002
4/14/2020,141.889999,141.977997
4/15/2020,151.559998,145.966003
4/16/2020,150.259995,149.042007
4/17/2020,150.059998,150.778
4/20/2020,148.990005,149.272003
4/21/2020,143.270004,137.343994
4/22/2020,150.25,146.421997
4/23/2020,169.089996,141.126007
4/24/2020,158.800003,145.029999
4/27/2020,164.600006,159.75
4/28/2020,156.720001,153.824005
4/29/2020,146.479996,160.102005
4/30/2020,135.169998,156.376007
5/1/2020,138.559998,140.264008
5/4/2020,143.440002,152.238007
5/5/2020,144.820007,153.641998
5/6/2020,149.589996,156.516006
5/7/2020,157.800003,156.007996
5/8/2020,155.399994,163.884003
5/11/2020,166.479996,162.257996
5/12/2020,161.039993,161.882004
5/13/2020,167.139999,158.192001
5/14/2020,167.910004,160.666
5/15/2020,174.830002,159.834
5/18/2020,164.690002,162.725998
5/19/2020,173.679993,161.602005
5/20/2020,175.479996,163.112
5/21/2020,172.029999,165.520004
5/22/2020,171.059998,163.376007
5/26/2020,164,163.774002
5/27/2020,161.970001,164.046005
5/28/2020,163.550003,161.162003
5/29/2020,179.479996,167
6/1/2020,204.149994,179.619995
6/2/2020,208.080002,176.311996
6/3/2020,223.869995,176.591995
6/4/2020,210.350006,172.876007
6/5/2020,207.600006,177.132004
6/8/2020,209.830002,189.983994
6/9/2020,205.429993,188.134003
6/10/2020,221.020004,205.009995
6/11/2020,222.070007,194.567993
6/12/2020,219.520004,187.056
6/15/2020,239.020004,198.179993
6/16/2020,242.559998,196.425995
6/17/2020,236.759995,198.358002
6/18/2020,241.570007,200.792007
6/19/2020,243.479996,200.179993
6/22/2020,251.270004,198.863998
6/23/2020,252.809998,200.356003
6/24/2020,255.899994,192.169998
6/25/2020,259.51001,197.195999
6/26/2020,256.799988,191.947998
6/29/2020,248.559998,201.869995
6/30/2020,253.539993,215.962006
7/1/2020,259.130005,223.925995
7/2/2020,261.73999,241.731995
7/6/2020,261,274.31601
7/7/2020,262.100006,277.971985
7/8/2020,266.320007,273.175995
7/9/2020,269.519989,278.855988
7/10/2020,275.869995,308.929993
7/13/2020,260.299988,299.411987
7/14/2020,260.01001,303.359985
7/15/2020,256.220001,309.201996
7/16/2020,248.539993,300.127991
7/17/2020,246.539993,300.167999
7/20/2020,268.579987,328.600006
7/21/2020,260.440002,313.671997
7/22/2020,261.179993,318.466003
7/23/2020,251.5,302.614014
7/24/2020,246.559998,283.399994
7/27/2020,252.330002,307.920013
7/28/2020,252.179993,295.298004
7/29/2020,252.389999,299.821991
7/30/2020,250,297.497986
7/31/2020,253.910004,286.152008
8/3/2020,268,297
8/4/2020,267.339996,297.399994
8/5/2020,272.899994,297.003998
8/6/2020,268.25,297.915985
8/7/2020,258.730011,290.541992
8/10/2020,250,283.713989
8/11/2020,231.039993,274.877991
8/12/2020,236.720001,310.951996
8/13/2020,247.25,324.200012
8/14/2020,244.910004,330.141998
8/17/2020,266.149994,367.127991
8/18/2020,276.799988,377.417999
8/19/2020,273.51001,375.705994
8/20/2020,290.690002,400.365997
8/21/2020,289.679993,409.996002
8/24/2020,282.279999,402.839996
8/25/2020,290.440002,404.667999
8/26/2020,295.269989,430.634003
8/27/2020,294.679993,447.75
8/28/2020,299.269989,442.679993
8/31/2020,325.100006,498.320007
9/1/2020,457.690002,475.049988
9/2/2020,423.559998,447.369995
9/3/2020,381.320007,407
9/4/2020,369.890015,418.320007
9/8/2020,350.880005,330.209991
9/9/2020,389.649994,366.279999
9/10/2020,384.480011,371.339996
9/11/2020,383,372.720001
9/14/2020,403.51001,419.619995
9/15/2020,410.940002,449.76001
9/16/2020,408.170013,441.76001
